科系代碼,學校,科系,招收人數,國文檢定,英文檢定,數學檢定,社會檢定,自然檢定,總級分檢定,英聽檢定,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,總級分倍率,第二試時間(起),第二試時間(訖),篩選一,篩選二,篩選三,篩選四,篩選五,篩選六,超額篩選
001012,國立臺灣大學,中國文學系,20,前標,均標,均標,均標,均標,--,--,3,6,--,8,--,--,105.3.25,105.3.25,社=13,英=14,國=15,,,,有
001022,國立臺灣大學,外國語文學系,47,前標,頂標,--,前標,--,--,--,--,2,--,--,--,4,105.3.26,105.3.26,總=68,英=15,,,,,有
001032,國立臺灣大學,歷史學系,24,前標,前標,均標,前標,--,--,--,3,3,--,3,--,--,105.4.8,105.4.9,國+英+社=43,,,,,,有
001042,國立臺灣大學,哲學系,20,前標,前標,均標,前標,均標,--,--,6,3,--,6,--,--,105.4.9,105.4.10,國+社=27,英=14,,,,,有
001052,國立臺灣大學,人類學系,9,--,均標,--,均標,--,--,--,--,5,--,--,--,2,105.4.16,105.4.16,英=14,總=69,,,,,有
001062,國立臺灣大學,圖書資訊學系,19,前標,前標,均標,均標,均標,--,--,5,6,--,--,--,3,105.4.9,105.4.9,英=13,國=14,總=67,,,,有
001072,國立臺灣大學,日本語文學系,15,前標,前標,--,前標,--,--,--,2.5,2.5,--,2.5,--,--,105.3.26,105.3.26,國+英+社=44,,,,,,有
001092,國立臺灣大學,數學系,20,均標,均標,均標,後標,均標,--,--,--,--,3,--,3,--,105.3.26,105.3.26,數+自=30,,,,,,有
001102,國立臺灣大學,物理學系,32,前標,前標,--,均標,--,--,--,--,--,3,--,6,--,105.3.26,105.3.26,自=14,數=15,,,,,有
001112,國立臺灣大學,化學系,32,均標,均標,均標,底標,均標,--,--,--,3,4,--,5,--,105.3.26,105.3.26,自=15,數=13,英=14,,,,有
001122,國立臺灣大學,地質科學系,22,均標,均標,均標,--,均標,--,--,10,8,6,--,3,--,105.3.26,105.3.26,國=10,英=11,數=12,自=14,,,有
001132,國立臺灣大學,心理學系,13,均標,均標,均標,均標,均標,--,--,--,3,3,3,3,--,105.4.16,105.4.16,英+數+社+自=58,,,,,,有
001142,國立臺灣大學,地理環境資源學系,14,均標,均標,均標,--,--,--,--,6,3,5,--,--,--,105.4.9,105.4.9,國=13,數=12,英=14,,,,有
001152,國立臺灣大學,大氣科學系,16,均標,均標,均標,均標,均標,--,--,3,3,3,--,3,--,105.4.9,105.4.9,國+英+數+自=56,,,,,,有
001162,國立臺灣大學,政治學系政治理論組,12,前標,前標,均標,前標,--,--,--,5,3,--,5,--,--,105.4.10,105.4.10,國+社=28,英=15,,,,,有
001172,國立臺灣大學,政治學系國際關係組,12,前標,前標,均標,前標,--,--,--,5,3,--,5,--,--,105.4.10,105.4.10,國+社=29,英=15,,,,,有
001182,國立臺灣大學,政治學系公共行政組,12,前標,前標,均標,前標,--,--,--,5,3,--,5,--,--,105.4.10,105.4.10,國+社=29,英=15,,,,,有
