科系代碼,學校,科系,招收人數,國文檢定,英文檢定,數學檢定,社會檢定,自然檢定,總級分檢定,英聽檢定,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,總級分倍率,第二試時間(起),第二試時間(訖),篩選一,篩選二,篩選三,篩選四,篩選五,篩選六,超額篩選
001192,國立臺灣大學,經濟學系,48,--,--,前標,--,--,--,--,--,--,3,--,--,4,105.4.9,105.4.9,總=69,數=14,,,,,有
001202,國立臺灣大學,社會學系,10,前標,前標,前標,--,--,--,--,4,2,4,--,--,--,105.4.8,105.4.8,國+數=27,英=15,,,,,有
001212,國立臺灣大學,社會工作學系,19,均標,均標,均標,均標,--,--,--,5,2,5,5,--,--,105.4.9,105.4.9,國+數+社=35,英=15,,,,,有
001222,國立臺灣大學,醫學系,40,頂標,頂標,頂標,前標,頂標,--,--,3,2,2,8,2,3,105.3.25,105.3.26,社=13,國+總=89,英+數+自=45,,,,有
001232,國立臺灣大學,牙醫學系,8,前標,頂標,頂標,均標,頂標,--,--,2.5,4,4,--,4,3,105.4.9,105.4.9,英+數+自=44,總=74,國=15,,,,有
001242,國立臺灣大學,藥學系,15,均標,均標,前標,--,前標,--,--,--,2.5,4,--,4,3,105.4.8,105.4.9,數+自=30,總=71,英=14,,,,有
001252,國立臺灣大學,醫學檢驗暨生物技術學系,12,均標,--,--,--,均標,--,--,--,6,5,--,3,--,105.4.15,105.4.15,英=13,數=12,自=15,,,,有
001262,國立臺灣大學,護理學系,16,--,均標,--,--,均標,--,--,--,6,--,--,3,--,105.3.26,105.3.26,英=14,自=14,,,,,有
001272,國立臺灣大學,物理治療學系,17,均標,前標,前標,--,前標,--,--,--,6,--,--,3,--,105.4.9,105.4.9,英=14,自=15,,,,,有
001282,國立臺灣大學,職能治療學系,14,前標,前標,均標,均標,均標,--,--,5,6,--,--,3,--,105.4.16,105.4.16,英=14,國=14,自=15,,,,有
001292,國立臺灣大學,土木工程學系,69,均標,均標,均標,--,均標,--,--,2.5,2.5,2.5,--,2.5,--,105.3.26,105.3.26,國+英+數+自=55,,,,,,有
001302,國立臺灣大學,機械工程學系,97,均標,均標,均標,--,均標,--,--,2.5,2.5,2.5,--,2.5,--,105.3.26,105.3.26,國+英+數+自=56,,,,,,有
001312,國立臺灣大學,化學工程學系,80,頂標,頂標,頂標,--,頂標,--,--,3,3,3,--,3,--,105.3.26,105.3.26,國+英+數+自=55,,,,,,有
001322,國立臺灣大學,工程科學及海洋工程學系,32,--,均標,均標,--,均標,--,--,--,3,3,--,3,3,105.3.26,105.3.26,英+數+自+總=111,,,,,,有
001332,國立臺灣大學,材料科學與工程學系,37,頂標,頂標,頂標,--,頂標,--,--,3,3,3,--,3,--,105.3.26,105.3.26,國+英+數+自=57,,,,,,有
001342,國立臺灣大學,農藝學系,15,--,均標,--,--,--,--,--,--,--,--,--,--,2.5,105.4.9,105.4.9,總=69,,,,,,有
001352,國立臺灣大學,生物環境系統工程學系,22,均標,均標,均標,--,均標,--,--,--,5,5,--,3,--,105.3.26,105.3.26,英+數=26,自=15,,,,,有
001362,國立臺灣大學,農業化學系,15,均標,均標,均標,均標,均標,--,--,--,8,10,--,3,--,105.4.9,105.4.9,數=7,英=12,自=15,,,,有
001372,國立臺灣大學,森林環境暨資源學系,36,均標,均標,均標,均標,均標,--,--,--,--,--,--,3,2.5,105.4.16,105.4.16,自=15,總=67,,,,,有
001382,國立臺灣大學,動物科學技術學系,12,均標,均標,均標,--,前標,--,--,6,6,6,--,3,--,105.3.26,105.3.26,國+英+數=39,自=15,,,,,有
001392,國立臺灣大學,農業經濟學系,20,均標,均標,均標,--,--,--,--,5,4,3,--,--,--,105.4.16,105.4.16,國=13,英=14,數=13,,,,有
001402,國立臺灣大學,園藝暨景觀學系,25,--,均標,均標,--,均標,--,--,4,4,4,--,4,3,105.4.8,105.4.8,國+英+數+自=52,總=68,,,,,有
001412,國立臺灣大學,獸醫學系,26,均標,均標,均標,--,均標,均標,--,3,4,3,--,3,5,105.4.15,105.4.15,總=66,英=14,國+數+自=41,,,,無
001422,國立臺灣大學,生物產業傳播暨發展學系,15,前標,前標,前標,前標,均標,--,--,3,3,3,--,--,--,105.4.9,105.4.9,國+英+數=41,,,,,,有
001432,國立臺灣大學,生物產業機電工程學系,14,--,--,均標,--,--,--,--,--,3.5,3.5,--,3.5,3.5,105.3.26,105.3.26,英+數+自+總=112,,,,,,有
001442,國立臺灣大學,昆蟲學系,10,均標,均標,均標,--,均標,--,--,--,5,4,--,3,--,105.4.9,105.4.9,英=13,數=13,自=14,,,,有
001452,國立臺灣大學,植物病理與微生物學系,8,均標,均標,均標,均標,均標,--,--,--,4,--,--,6,10,105.4.9,105.4.9,總=53,自=14,英=14,,,,有
001462,國立臺灣大學,工商管理學系企業管理組,25,--,頂標,頂標,--,--,--,--,--,3,3,--,--,3,105.4.8,105.4.8,英+數+總=98,,,,,,有
001472,國立臺灣大學,工商管理學系科技管理組,21,--,頂標,頂標,--,--,--,--,--,3,3,--,--,3,105.4.8,105.4.8,英+數+總=99,,,,,,有
001482,國立臺灣大學,會計學系,43,頂標,頂標,頂標,前標,前標,--,--,--,2,2,--,--,4,105.4.15,105.4.15,總=68,英+數=29,,,,,有
001492,國立臺灣大學,財務金融學系,45,--,頂標,頂標,--,--,--,--,--,2,3,--,--,4,105.4.8,105.4.8,總=65,數=13,英=15,,,,有
001502,國立臺灣大學,國際企業學系,45,--,頂標,頂標,--,--,--,--,--,2.5,--,--,--,3.5,105.3.25,105.3.25,總=70,英=15,,,,,有
001512,國立臺灣大學,資訊管理學系,34,--,頂標,頂標,--,--,--,--,--,2.5,2.5,--,--,3,105.3.27,105.3.27,總=71,英+數=28,,,,,有
001522,國立臺灣大學,公共衛生學系,23,均標,均標,均標,均標,均標,--,--,--,--,--,--,--,2.5,105.3.26,105.3.26,總=69,,,,,,有
001532,國立臺灣大學,電機工程學系,93,頂標,頂標,頂標,前標,頂標,--,--,--,2.5,2.5,--,2.5,--,105.3.27,105.3.27,英+數+自=44,,,,,,有
001542,國立臺灣大學,資訊工程學系,72,--,頂標,頂標,--,頂標,--,--,--,10,2.5,--,10,--,105.3.27,105.3.27,英+自=27,數=15,,,,,有
001552,國立臺灣大學,法律學系法學組,15,頂標,頂標,前標,頂標,--,--,--,5,2,--,2,--,--,105.4.10,105.4.10,國=15,英+社=30,,,,,有
001562,國立臺灣大學,法律學系司法組,15,頂標,頂標,前標,頂標,--,--,--,5,2,--,2,--,--,105.4.10,105.4.10,國=14,英+社=30,,,,,有
001572,國立臺灣大學,法律學系財經法學組,15,頂標,頂標,前標,頂標,--,--,--,5,2,--,2,--,--,105.4.10,105.4.10,國=14,英+社=30,,,,,有
001582,國立臺灣大學,生命科學系,18,前標,--,前標,--,--,--,--,--,3,--,--,3,5,105.4.9,105.4.9,總=68,英+自=29,,,,,有
001592,國立臺灣大學,生化科技學系,19,均標,均標,均標,均標,均標,--,--,--,6,10,--,2,--,105.4.9,105.4.9,數=11,英=14,自=15,,,,有
001602,國立臺灣大學,護理學系(公費生),2,--,均標,--,--,均標,--,--,--,6,--,--,3,--,105.3.26,105.3.26,英=14,自=14,,,,,有
001612,國立臺灣大學,醫學系(公費生),8,前標,前標,前標,前標,前標,--,--,5,4,4,6,3,4,105.4.22,105.4.23,社=15,國=14,英+數+總=102,自=15,,,有
002012,國立臺灣師範大學,教育學系,26,前標,前標,均標,均標,--,--,--,2.5,3,--,--,--,4,105.4.1,105.4.1,總=61,英=14,國=13,,,,有
002022,國立臺灣師範大學,教育學系(公費生),1,頂標,前標,均標,均標,--,--,--,--,--,--,--,--,6,105.4.1,105.4.1,總=70,,,,,,無
002032,國立臺灣師範大學,教育心理與輔導學系,16,前標,前標,均標,--,--,--,--,--,--,--,--,--,2,105.4.9,105.4.9,總=67,,,,,,有
002042,國立臺灣師範大學,社會教育學系,23,前標,前標,均標,--,--,--,--,--,--,--,--,--,3,105.4.9,105.4.9,總=58,,,,,,有
002052,國立臺灣師範大學,健康促進與衛生教育學系,18,均標,均標,--,--,--,--,--,3,3,--,--,--,--,105.4.10,105.4.10,國+英=25,,,,,,有
002062,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,16,均標,均標,--,--,--,--,--,--,--,--,--,--,2.5,105.4.9,105.4.9,總=61,,,,,,有
002072,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,16,--,均標,--,--,--,--,--,--,--,--,--,--,2.5,105.4.9,105.4.9,總=58,,,,,,無
002082,國立臺灣師範大學,人類發展與家庭學系營養科學與教育組,11,--,均標,--,--,均標,--,--,--,--,--,--,2.5,3,105.4.9,105.4.9,總=63,自=13,,,,,有
002092,國立臺灣師範大學,公民教育與活動領導學系,30,前標,前標,均標,前標,--,--,--,--,--,--,2,--,3,105.4.9,105.4.9,總=55,社=13,,,,,有
002102,國立臺灣師範大學,公民教育與活動領導學系(公費生),1,前標,前標,均標,前標,--,--,--,--,--,--,5,--,10,105.4.9,105.4.9,總=68,社=15,,,,,有
002112,國立臺灣師範大學,特殊教育學系,15,均標,均標,均標,--,--,--,--,4,5,6,--,--,3,105.4.8,105.4.8,數=11,英=11,國=12,總=61,,,有
002122,國立臺灣師範大學,國文學系,47,頂標,均標,--,前標,--,前標,--,2,--,--,--,--,--,105.4.1,105.4.1,國=15,,,,,,有
002132,國立臺灣師範大學,英語學系,40,前標,頂標,--,--,--,--,A級,3,2,--,4,--,6,105.4.8,105.4.8,總=60,社=13,國=13,英=15,,,有
002142,國立臺灣師範大學,歷史學系,25,前標,前標,--,前標,--,--,--,5,4,--,3,--,6,105.4.9,105.4.9,總=48,國=12,英=12,社=13,,,有
002152,國立臺灣師範大學,地理學系,31,前標,前標,均標,前標,均標,--,--,--,--,3,--,4,5,105.4.9,105.4.9,總=55,自=11,數=10,,,,有
002162,國立臺灣師範大學,臺灣語文學系,8,均標,均標,--,均標,--,--,--,4,7,--,5,--,4,105.4.8,105.4.8,英=10,社=12,國+總=70,,,,有
002172,國立臺灣師範大學,數學系,44,--,均標,前標,--,均標,--,--,--,--,3,--,--,5,105.3.26,105.3.26,總=57,數=14,,,,,有
002182,國立臺灣師範大學,物理學系,34,--,--,--,--,前標,--,--,--,--,3,--,4,5,105.3.26,105.3.26,總=60,自=13,數=13,,,,有
002192,國立臺灣師範大學,化學系,36,均標,--,--,後標,--,--,--,--,5,5,--,3,--,105.4.8,105.4.8,英+數=23,自=13,,,,,有
002202,國立臺灣師範大學,生命科學系,24,--,前標,--,--,--,--,--,--,--,5,--,3,10,105.4.10,105.4.10,總=44,數=10,自=14,,,,有
002212,國立臺灣師範大學,地球科學系,16,--,均標,均標,--,均標,--,--,--,3,6,--,6,--,105.4.8,105.4.8,數+自=23,英=13,,,,,有
002222,國立臺灣師範大學,資訊工程學系,25,均標,均標,前標,--,前標,--,--,--,10,3,--,--,--,105.4.9,105.4.9,英=9,數=13,,,,,有
002232,國立臺灣師範大學,科技應用與人力資源發展學系,33,--,均標,均標,--,均標,--,--,--,5,5,--,5,3,105.3.26,105.3.26,英+數+自=35,總=62,,,,,有
002242,國立臺灣師範大學,圖文傳播學系,8,--,--,--,--,--,前標,--,4,4,--,--,--,--,105.3.26,105.3.26,國+英=28,,,,,,有
002252,國立臺灣師範大學,機電工程學系,5,均標,均標,前標,--,均標,--,--,--,--,--,--,--,4,105.4.9,105.4.9,總=64,,,,,,有
002262,國立臺灣師範大學,電機工程學系,20,均標,前標,前標,--,前標,--,--,--,--,3,--,--,3,105.3.26,105.3.26,數+總=77,,,,,,有
002272,國立臺灣師範大學,應用華語文學系,18,--,--,--,--,--,前標,B級,5,3,--,7,--,--,105.4.8,105.4.8,社=13,國=13,英=14,,,,有
002282,國立臺灣師範大學,東亞學系漢學與文化組,7,前標,前標,--,前標,--,--,--,4,3,--,5,--,--,105.4.8,105.4.8,社=13,國=13,英=14,,,,有
002292,國立臺灣師範大學,東亞學系政治與經濟組,7,--,前標,前標,前標,--,--,--,--,3,4,5,--,--,105.4.8,105.4.8,社=14,數=11,英=13,,,,有
002302,國立臺灣師範大學,企業管理學系,18,--,均標,均標,--,--,--,--,--,--,--,--,--,3,105.3.27,105.3.27,總=65,,,,,,有
002312,國立臺灣師範大學,設計學系產品與室內設計組,10,均標,均標,均標,--,均標,--,--,--,--,--,--,--,3.5,105.3.27,105.3.27,總=66,,,,,,有
002322,國立臺灣師範大學,不分系招生(晨光組),10,--,--,--,--,--,均標,--,--,--,--,--,--,5,105.4.9,105.4.9,總=54,,,,,,有
003012,國立中興大學,中國文學系,33,均標,均標,--,--,--,--,--,3,6,--,--,--,--,105.4.8,105.4.8,英=12,國=14,,,,,有
003022,國立中興大學,外國語文學系,20,前標,前標,--,均標,--,--,--,5,3,--,--,--,6,105.4.8,105.4.8,總=58,國=12,英=15,,,,有
003032,國立中興大學,歷史學系,33,前標,均標,--,前標,--,--,--,5,5,--,3,--,--,105.4.8,105.4.8,國+英=25,社=14,,,,,有
003042,國立中興大學,財務金融學系,25,前標,前標,前標,--,--,--,--,--,3,5,--,--,8,105.4.8,105.4.8,總=60,數=11,英=14,,,,有
003052,國立中興大學,企業管理學系,21,--,前標,前標,--,--,--,--,--,3.5,3,--,--,8,105.4.8,105.4.8,總=53,英=13,數=11,,,,有
003062,國立中興大學,資訊管理學系,20,--,前標,前標,--,均標,--,--,--,5,3,--,--,4,105.4.8,105.4.8,英=13,總=59,數=12,,,,有
003072,國立中興大學,會計學系,24,均標,前標,前標,均標,均標,--,--,--,--,--,--,--,3,105.4.8,105.4.8,總=56,,,,,,有
003082,國立中興大學,行銷學系,25,前標,前標,前標,--,--,--,--,3,8,10,--,--,--,105.4.8,105.4.8,數=10,英=12,國=13,,,,有
003092,國立中興大學,法律學系,18,前標,前標,前標,前標,--,--,--,3,3,3,3,--,--,105.4.8,105.4.8,國+英+數+社=52,,,,,,有
003102,國立中興大學,應用經濟學系,30,均標,均標,均標,--,--,--,--,--,3,5,--,--,10,105.4.8,105.4.8,總=55,數=11,英=12,,,,有
003112,國立中興大學,化學系,28,--,均標,前標,--,前標,--,--,--,8,4,--,3,--,105.4.8,105.4.8,英=11,數=12,自=13,,,,有
003122,國立中興大學,物理學系一般物理組,20,--,均標,前標,--,前標,--,--,--,3,6,--,--,--,105.4.8,105.4.8,數=12,英=12,,,,,有
003132,國立中興大學,物理學系光電物理組,16,--,均標,前標,--,前標,--,--,--,3,6,--,--,--,105.4.8,105.4.8,數=12,英=12,,,,,有
003142,國立中興大學,應用數學系,40,--,--,頂標,--,--,--,--,--,--,3,--,--,5,--,--,總=59,數=14,,,,,有
003152,國立中興大學,資訊科學與工程學系,18,均標,均標,均標,--,--,--,--,--,5,8,--,5,3,105.4.8,105.4.8,數=12,英+自=25,總=64,,,,有
003162,國立中興大學,機械工程學系,52,--,均標,均標,--,均標,--,--,--,9,3,--,3,--,105.4.9,105.4.9,英=10,數+自=26,,,,,有
003172,國立中興大學,土木工程學系,40,均標,均標,均標,--,均標,均標,--,--,--,3,--,3,2,105.4.8,105.4.8,數+自=25,總=62,,,,,有
003182,國立中興大學,環境工程學系,15,--,--,--,--,--,前標,--,9,9,3,--,3,--,105.4.9,105.4.9,國+英=21,數+自=26,,,,,有
003192,國立中興大學,電機工程學系,35,均標,均標,前標,--,前標,--,B級,--,3,4,--,3,--,105.4.8,105.4.8,數=13,英+自=25,,,,,有
003202,國立中興大學,化學工程學系,18,--,前標,前標,--,前標,均標,--,--,5,3,--,3,10,105.4.8,105.4.8,總=59,英=13,數+自=26,,,,有
003212,國立中興大學,材料科學與工程學系,15,--,均標,均標,--,均標,--,--,--,5,3,--,3,--,105.4.8,105.4.8,英=14,數+自=25,,,,,有
003222,國立中興大學,生物產業機電工程學系,16,--,均標,均標,--,均標,--,--,--,10,3,--,10,--,--,--,英+自=24,數=13,,,,,有
003232,國立中興大學,水土保持學系,32,--,均標,均標,--,均標,均標,--,--,5,3,--,4,2.5,105.4.8,105.4.8,英=11,自=12,數=11,總=60,,,有
003242,國立中興大學,食品暨應用生物科技學系,16,均標,均標,均標,--,均標,--,--,5,3,4,--,3,--,105.4.8,105.4.8,國=13,數=11,英+自=25,,,,有
003252,國立中興大學,農藝學系,20,均標,均標,均標,--,均標,--,B級,6,--,--,--,2.5,8,105.4.8,105.4.8,總=47,國=12,自=14,,,,有
003262,國立中興大學,園藝學系,12,均標,均標,均標,均標,前標,--,--,--,5,--,--,3.5,--,105.4.8,105.4.8,英=13,自=13,,,,,有
003272,國立中興大學,森林學系林學組,7,均標,均標,均標,--,均標,--,--,--,--,--,--,5,--,105.4.9,105.4.9,自=14,,,,,,有
003292,國立中興大學,森林學系木材科學組,6,均標,均標,均標,--,均標,--,--,--,--,--,--,5,--,105.4.9,105.4.9,自=13,,,,,,有
003302,國立中興大學,植物病理學系,20,--,均標,--,--,均標,--,--,--,5,--,--,6,3,105.4.8,105.4.8,自=9,英=9,總=60,,,,無
003312,國立中興大學,昆蟲學系,20,均標,均標,均標,--,前標,--,--,4,2.5,3,--,2,--,105.4.9,105.4.9,國=12,數=9,英=12,自=12,,,有
003322,國立中興大學,動物科學系,15,均標,均標,均標,--,均標,--,B級,6,6,6,--,3,--,105.4.8,105.4.8,國+英+數=37,自=13,,,,,有
003332,國立中興大學,土壤環境科學系,21,均標,均標,均標,--,均標,--,--,--,5,5,--,5,2.5,105.4.8,105.4.8,英+數+自=27,總=59,,,,,有
003342,國立中興大學,生物科技學士學位學程,10,均標,均標,均標,均標,均標,--,--,--,10,--,--,7,5,105.4.10,105.4.10,英=12,自=13,總=64,,,,有
003352,國立中興大學,景觀與遊憩學士學位學程,10,均標,前標,均標,均標,前標,--,--,--,5,10,--,--,3,105.4.8,105.4.8,數=7,英=12,總=59,,,,有
003362,國立中興大學,國際農企業學士學位學程,9,均標,前標,均標,--,均標,--,A級,--,10,--,--,5,--,105.4.8,105.4.8,英=12,自=11,,,,,有
003372,國立中興大學,生命科學系,60,均標,均標,均標,--,前標,--,--,--,8,10,--,3,--,105.4.8,105.4.8,數=7,英=9,自=14,,,,有
003382,國立中興大學,獸醫學系,48,均標,均標,均標,均標,均標,--,--,--,10,--,--,--,3,105.4.8,105.4.8,英=9,總=68,,,,,有
004012,國立成功大學,中國文學系,12,頂標,均標,--,前標,--,--,--,2,10,--,10,--,--,105.4.8,105.4.8,英+社=25,國=15,,,,,有
004022,國立成功大學,外國語文學系,13,前標,頂標,--,--,--,--,--,4,3,--,5,--,6,105.4.9,105.4.9,總=63,社=13,國=13,英=15,,,有
004032,國立成功大學,歷史學系,16,前標,前標,--,前標,均標,--,--,5,4,--,3,--,--,105.4.9,105.4.9,國=13,英=12,社=14,,,,有
004042,國立成功大學,台灣文學系,23,頂標,頂標,--,前標,--,--,--,3,8,--,10,--,--,105.4.9,105.4.9,社=12,英=14,國=13,,,,無
004052,國立成功大學,數學系,30,後標,均標,前標,--,均標,--,--,10,6,3,--,6,--,105.4.9,105.4.9,國=9,英+自=23,數=14,,,,有
004062,國立成功大學,物理學系物理組,12,均標,前標,前標,--,前標,--,--,--,--,--,--,3,--,105.4.9,105.4.9,自=15,,,,,,有
004072,國立成功大學,物理學系光電科學組,4,均標,前標,前標,--,前標,均標,--,--,--,--,--,3,--,105.4.9,105.4.9,自=15,,,,,,有
004082,國立成功大學,化學系,20,--,前標,前標,--,前標,--,--,--,--,--,--,3,--,105.4.8,105.4.8,自=15,,,,,,有
004092,國立成功大學,地球科學系,25,--,均標,均標,--,前標,--,--,--,--,3,--,5,--,105.4.9,105.4.9,自=12,數=12,,,,,無
004102,國立成功大學,光電科學與工程學系,28,均標,均標,前標,--,前標,--,--,--,--,3,--,3,8,105.4.8,105.4.8,總=60,數+自=28,,,,,有
004112,國立成功大學,機械工程學系,72,均標,前標,前標,均標,前標,--,--,--,3,3,--,3,6,105.4.9,105.4.9,總=65,英+數+自=41,,,,,有
004122,國立成功大學,化學工程學系,69,前標,前標,頂標,--,頂標,--,--,--,5,3,--,3,6,105.4.8,105.4.8,總=61,英=12,數+自=27,,,,有
004132,國立成功大學,材料科學及工程學系,40,頂標,頂標,頂標,均標,頂標,--,--,5,5,3,5,3,--,105.4.9,105.4.9,國+英+社=38,數+自=25,,,,,無
004142,國立成功大學,資源工程學系,23,均標,均標,均標,--,均標,均標,--,10,8,4,--,6,3,105.4.9,105.4.9,國=10,英=11,自=13,數=12,總=64,,有
004152,國立成功大學,土木工程學系,48,均標,均標,均標,--,均標,均標,B級,6,6,4,--,4,3,105.4.9,105.4.9,國+英=19,數+自=26,總=65,,,,有
004162,國立成功大學,水利及海洋工程學系,22,--,均標,前標,--,前標,--,B級,--,8,5,--,5,2,105.4.9,105.4.9,英=9,數+自=24,總=65,,,,有
004172,國立成功大學,工程科學系,25,--,前標,前標,--,前標,--,--,--,--,6,--,3,9,105.4.9,105.4.9,總=65,數=13,自=14,,,,有
004182,國立成功大學,系統及船舶機電工程學系,25,--,前標,頂標,--,前標,--,B級,--,--,4,--,5,3,105.4.8,105.4.8,自=12,數=13,總=64,,,,有
004192,國立成功大學,航空太空工程學系,27,--,前標,前標,--,前標,--,--,--,10,5,--,5,3,105.4.9,105.4.9,英=12,數+自=27,總=67,,,,有
004202,國立成功大學,環境工程學系,25,--,--,--,--,--,均標,--,--,--,--,--,--,3,105.4.9,105.4.9,總=66,,,,,,有
004212,國立成功大學,測量及空間資訊學系,35,--,前標,前標,--,前標,--,--,--,--,--,--,--,3,105.4.8,105.4.9,總=57,,,,,,無
004222,國立成功大學,生物醫學工程學系,15,--,前標,前標,--,前標,--,--,--,--,--,--,--,3,105.4.9,105.4.9,總=68,,,,,,有
004232,國立成功大學,能源國際學士學位學程,20,--,頂標,前標,--,前標,--,--,--,10,5,--,5,3,105.4.9,105.4.9,英=14,數+自=22,總=65,,,,有
004242,國立成功大學,工業與資訊管理學系,30,前標,前標,前標,均標,前標,--,--,--,8,10,--,--,3,105.4.8,105.4.8,數=10,英=12,總=66,,,,有
004252,國立成功大學,交通管理科學系,26,均標,前標,前標,--,均標,--,--,5,2.5,3,--,5,--,105.4.10,105.4.10,國+自=23,數=12,英=13,,,,有
004262,國立成功大學,企業管理學系,10,--,均標,均標,--,--,--,--,--,3,4,--,--,--,105.4.8,105.4.8,數=13,英=14,,,,,有
004272,國立成功大學,統計學系,15,均標,前標,前標,--,--,--,--,--,3,3,--,--,--,105.4.8,105.4.8,英+數=27,,,,,,有
004282,國立成功大學,會計學系,21,均標,均標,均標,--,--,--,--,--,2,3,--,--,10,105.4.8,105.4.8,總=57,數=13,英=14,,,,有
004292,國立成功大學,醫學系,35,頂標,頂標,頂標,頂標,頂標,--,--,6,5,2.5,8,4,2.5,105.4.9,105.4.9,社=14,國=14,英=15,自=15,數+總=89,,有
004302,國立成功大學,醫學檢驗生物技術學系,15,均標,均標,均標,--,均標,均標,--,--,4,--,--,3,10,105.4.8,105.4.8,總=47,英=14,自=14,,,,有
004312,國立成功大學,護理學系,15,--,--,--,--,均標,--,--,--,3,--,--,6,8,105.4.8,105.4.8,總=62,自=13,英=14,,,,有
004322,國立成功大學,職能治療學系,6,--,均標,--,--,前標,--,--,--,6,--,--,5,--,105.4.8,105.4.8,英=15,自=14,,,,,無
004332,國立成功大學,物理治療學系,11,--,均標,--,--,--,前標,--,--,7,--,--,--,4.5,105.4.10,105.4.10,英=15,總=66,,,,,有
004342,國立成功大學,藥學系,15,均標,均標,均標,--,--,--,--,3,--,--,--,4,3.5,105.4.10,105.4.10,自=15,總=71,國=14,,,,有
004352,國立成功大學,政治學系,22,前標,前標,均標,前標,--,--,--,3,10,--,6,--,--,105.4.9,105.4.9,英=12,社=14,國=14,,,,有
004362,國立成功大學,經濟學系,16,均標,均標,均標,--,--,--,--,3,5,6,--,--,--,105.4.9,105.4.9,數=13,英=13,國=13,,,,有
004372,國立成功大學,法律學系,24,頂標,頂標,均標,頂標,--,--,--,3,3,3,--,--,--,105.4.8,105.4.8,國+英+數=39,,,,,,有
004382,國立成功大學,心理學系,18,均標,均標,均標,均標,均標,--,--,--,3,3,3,3,--,105.4.8,105.4.8,英+數+社+自=55,,,,,,有
004392,國立成功大學,電機工程學系,110,--,前標,頂標,--,頂標,頂標,--,--,--,10,--,10,3,105.4.9,105.4.9,數+自=25,總=69,,,,,有
004402,國立成功大學,資訊工程學系,55,--,前標,前標,--,前標,--,--,--,--,--,--,--,3,105.4.8,105.4.8,總=69,,,,,,有
004412,國立成功大學,建築學系,28,均標,均標,均標,--,--,均標,--,--,--,--,--,--,2.5,105.4.10,105.4.10,總=68,,,,,,有
004422,國立成功大學,都市計劃學系,27,均標,均標,均標,均標,均標,--,--,--,--,--,--,--,3,105.4.9,105.4.9,總=65,,,,,,有
