科系代碼,學校,科系,招收人數,國文檢定,英文檢定,數學檢定,社會檢定,自然檢定,總級分檢定,英聽檢定,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,總級分倍率,第二試時間(起),第二試時間(訖),篩選一,篩選二,篩選三,篩選四,篩選五,篩選六,超額篩選
002042,國立臺灣師範大學,健康促進與衛生教育學系,10,--,均標,--,--,均標,--,--,--,4,--,--,4,--,104.4.12,104.4.12,英+自=27,,,,,,有
002052,國立臺灣師範大學,健康促進與衛生教育學系(公費生),1,--,頂標,--,--,頂標,--,--,--,10,--,--,10,--,104.4.12,104.4.12,英+自=29,,,,,,有
002062,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,15,均標,均標,--,--,--,--,--,--,--,--,--,--,2.5,104.4.11,104.4.11,總=63,,,,,,有
002072,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,15,--,均標,--,--,--,--,--,--,--,--,--,--,2.5,104.4.11,104.4.11,總=63,,,,,,有
002082,國立臺灣師範大學,人類發展與家庭學系營養科學與教育組,11,--,均標,--,--,均標,--,--,--,--,--,--,2.5,3,104.4.11,104.4.11,總=64,自=13,,,,,有
002092,國立臺灣師範大學,公民教育與活動領導學系,30,前標,前標,均標,前標,--,--,--,--,--,--,--,--,2,104.4.11,104.4.11,總=63,,,,,,有
002102,國立臺灣師範大學,公民教育與活動領導學系甲組(公費生),1,前標,前標,均標,前標,--,--,--,--,--,--,--,--,2,104.4.11,104.4.11,總=71,,,,,,無
002112,國立臺灣師範大學,公民教育與活動領導學系乙組(公費生),2,前標,前標,均標,前標,--,--,--,--,--,--,--,--,2,104.4.11,104.4.11,總=70,,,,,,無
002122,國立臺灣師範大學,特殊教育學系,15,均標,均標,均標,--,--,--,--,4,5,6,--,--,3,104.4.10,104.4.10,數=7,英=11,國=13,總=60,,,有
002132,國立臺灣師範大學,特殊教育學系甲組(公費生),1,均標,均標,均標,--,--,--,--,5,--,--,--,--,8,104.4.10,104.4.10,總=66,國=14,,,,,無
002142,國立臺灣師範大學,特殊教育學系乙組(公費生),1,均標,頂標,頂標,--,頂標,均標,--,--,--,6,--,5,7,104.4.10,104.4.10,總=70,數=13,自=15,,,,有
002152,國立臺灣師範大學,特殊教育學系丙組(公費生),1,均標,頂標,頂標,--,頂標,均標,--,--,--,6,--,5,7,104.4.10,104.4.10,總=69,數=14,自=14,,,,有
002162,國立臺灣師範大學,國文學系,40,頂標,前標,--,前標,--,前標,--,2,--,--,--,--,--,104.4.11,104.4.11,國=15,,,,,,有
002172,國立臺灣師範大學,英語學系,40,前標,頂標,--,--,--,--,A級,3,2,--,4,--,6,104.4.10,104.4.10,總=51,社=12,國=13,英=15,,,有
002182,國立臺灣師範大學,歷史學系,15,前標,前標,--,前標,--,--,--,5,4,--,3,--,6,104.4.11,104.4.11,總=61,國=14,英=13,社=14,,,有
002192,國立臺灣師範大學,地理學系,30,前標,前標,均標,前標,均標,--,--,--,--,3,--,4,5,104.4.11,104.4.11,總=56,自=11,數=10,,,,有
002202,國立臺灣師範大學,臺灣語文學系,8,均標,均標,--,均標,--,--,--,4,7,--,5,--,4,104.4.10,104.4.10,英=13,社=14,國+總=72,,,,無
002212,國立臺灣師範大學,數學系,40,--,均標,前標,--,均標,--,--,--,--,3,--,--,5,104.4.11,104.4.11,總=55,數=14,,,,,有
002222,國立臺灣師範大學,物理學系,30,--,--,--,--,前標,--,--,--,--,3,--,4,5,104.4.10,104.4.10,總=60,自=13,數=13,,,,有
002232,國立臺灣師範大學,物理學系(公費生),1,--,--,--,--,前標,--,--,--,--,3,--,4,5,104.4.10,104.4.10,總=71,自=15,數=14,,,,有
002242,國立臺灣師範大學,化學系,31,均標,--,--,後標,--,--,--,--,5,5,--,3,--,104.4.10,104.4.10,英+數=24,自=14,,,,,有
002252,國立臺灣師範大學,生命科學系,24,--,前標,--,--,--,--,--,--,--,5,--,3,10,104.4.12,104.4.12,總=37,數=11,自=14,,,,有
002262,國立臺灣師範大學,地球科學系,14,--,均標,均標,--,均標,--,--,--,3,6,--,6,--,104.4.10,104.4.10,數+自=25,英=13,,,,,有
002272,國立臺灣師範大學,資訊工程學系,25,均標,前標,前標,--,前標,--,--,--,10,3,--,--,--,104.4.11,104.4.11,英=12,數=14,,,,,有
002282,國立臺灣師範大學,科技應用與人力資源發展學系,33,--,均標,均標,--,均標,--,--,--,5,5,--,5,3,104.4.11,104.4.11,英+數+自=32,總=62,,,,,有
002292,國立臺灣師範大學,圖文傳播學系,8,--,--,--,--,--,前標,--,4,4,--,--,--,--,104.4.11,104.4.11,國+英=29,,,,,,有
002302,國立臺灣師範大學,機電工程學系,5,均標,均標,前標,--,均標,--,--,--,--,--,--,--,3,104.4.11,104.4.11,總=66,,,,,,有
002312,國立臺灣師範大學,電機工程學系,17,均標,前標,前標,--,前標,--,--,--,--,3,--,--,3,104.4.11,104.4.11,數+總=78,,,,,,有
002322,國立臺灣師範大學,應用華語文學系,15,--,--,--,--,--,前標,B級,5,3,5,7,--,--,104.4.10,104.4.10,社=14,國+數=22,英=14,,,,有
002332,國立臺灣師範大學,東亞學系漢學與文化組,8,前標,前標,--,前標,--,--,--,4,3,--,5,--,--,104.4.10,104.4.10,社=14,國=14,英=14,,,,有
002342,國立臺灣師範大學,東亞學系政治與經濟組,8,--,前標,均標,前標,--,--,--,--,3,4,5,--,--,104.4.10,104.4.10,社=14,數=11,英=13,,,,有
002352,國立臺灣師範大學,企業管理學系,20,--,均標,均標,--,--,--,--,--,--,--,--,--,3,104.4.12,104.4.12,總=66,,,,,,無
002362,國立臺灣師範大學,設計學系產品與室內設計組,11,均標,均標,均標,--,均標,--,--,--,--,--,--,--,3.5,104.4.12,104.4.12,總=66,,,,,,有
003012,國立中興大學,中國文學系,33,均標,均標,--,--,--,--,--,3,6,--,--,--,--,104.4.17,104.4.17,英=13,國=14,,,,,有
003022,國立中興大學,外國語文學系,14,前標,前標,--,均標,--,--,--,5,3.5,--,--,--,6,104.4.17,104.4.17,總=62,國=13,英=15,,,,有
003032,國立中興大學,歷史學系,24,前標,前標,--,前標,--,--,--,5,5,--,3,--,--,104.4.17,104.4.17,國+英=25,社=14,,,,,有
003042,國立中興大學,財務金融學系,25,前標,前標,前標,--,--,--,--,--,3,5,--,--,8,104.4.17,104.4.17,總=61,數=11,英=14,,,,有
003052,國立中興大學,企業管理學系,21,--,前標,前標,--,--,--,--,--,3.5,3,--,--,--,--,--,英=14,數=12,,,,,有
003062,國立中興大學,資訊管理學系,14,--,前標,前標,--,均標,--,--,--,5,3,--,--,--,104.4.17,104.4.17,英=13,數=12,,,,,有
003072,國立中興大學,會計學系,18,前標,前標,前標,--,--,--,B級,--,--,--,--,--,3,104.4.17,104.4.17,總=67,,,,,,有
003082,國立中興大學,行銷學系,16,前標,前標,前標,--,--,--,--,3,8,10,--,--,--,104.4.17,104.4.17,數=10,英=13,國=14,,,,有
003092,國立中興大學,法律學系,15,前標,前標,前標,前標,--,--,B級,3,3,3,3,--,--,104.4.17,104.4.17,國+英+數+社=53,,,,,,有
003102,國立中興大學,應用經濟學系,19,均標,均標,均標,--,--,--,--,--,3,5,--,--,10,104.4.18,104.4.18,總=57,數=12,英=13,,,,有
003112,國立中興大學,化學系,20,--,均標,前標,--,前標,--,--,--,8,4,--,3,--,104.4.17,104.4.17,英=12,數=12,自=13,,,,有
003122,國立中興大學,物理學系一般物理組,14,均標,均標,前標,--,前標,--,--,--,3,6,--,--,--,104.4.17,104.4.17,數=12,英=12,,,,,有
003132,國立中興大學,物理學系光電物理組,10,均標,均標,前標,--,前標,--,--,--,4,6,--,--,--,104.4.17,104.4.17,數=13,英=12,,,,,有
003142,國立中興大學,應用數學系,32,--,--,頂標,--,--,--,--,--,--,3,--,--,5,--,--,總=61,數=14,,,,,有
003152,國立中興大學,資訊科學與工程學系,18,均標,均標,前標,--,前標,均標,--,--,3,6,--,3,--,104.4.17,104.4.17,數=13,英+自=27,,,,,有
003162,國立中興大學,機械工程學系,47,--,均標,均標,--,均標,--,--,--,10,3,--,3,--,104.4.18,104.4.18,英=11,數+自=27,,,,,有
003172,國立中興大學,土木工程學系,40,均標,均標,前標,--,前標,--,--,--,--,3,--,3,--,--,--,數+自=27,,,,,,有
003182,國立中興大學,環境工程學系,13,--,--,--,--,--,前標,--,12,12,3.5,--,3.5,--,104.4.18,104.4.18,國+英=24,數+自=26,,,,,有
003192,國立中興大學,電機工程學系,33,均標,均標,前標,--,前標,--,--,--,3,4,--,3,--,104.4.17,104.4.17,數=14,英+自=25,,,,,有
