科系代碼,學校,科系,學測國文,學測英文,學測數學,學測社會,學測自然,學測總級分,國文,英文,數學甲,數學乙,物理,化學,生物,歷史,地理,公民,英聽
01402,淡江大學,教育科技學系,--,--,--,--,--,--,2.00,2.00,--,1.50,--,--,--,--,--,--,--
01403,淡江大學,公共行政學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.00,--,1.00,--
01404,淡江大學,化學工程與材料工程學系,--,--,--,--,--,--,2.00,1.00,2.00,--,1.00,2.00,--,--,--,--,--
01405,淡江大學,數學學系資料科學與數理統計組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,--,--,--,--,--,--
01406,淡江大學,數學學系數學組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,--,--,--,--,--,--
01407,淡江大學,資訊與圖書館學系,--,--,--,--,--,--,2.00,2.00,--,1.50,--,--,--,1.00,--,--,--
01408,淡江大學,歷史學系,--,--,--,--,--,--,1.50,1.00,--,--,--,--,--,1.50,--,--,--
01409,淡江大學,資訊管理學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01410,淡江大學,運輸管理學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01411,淡江大學,土木工程學系營建企業組,--,--,--,--,--,--,1.00,1.50,1.50,--,1.50,--,--,--,--,--,--
01412,淡江大學,資訊工程學系,--,--,--,--,--,--,2.00,2.00,2.00,--,1.00,1.00,--,--,--,--,--
01413,淡江大學,電機工程學系電機資訊組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01414,淡江大學,理學院尖端材料科學學士學位學程,--,--,--,--,--,--,1.00,1.00,2.00,--,1.50,1.50,--,--,--,--,--
01415,淡江大學,管理科學學系,--,--,--,--,--,--,1.50,2.00,2.00,--,--,--,--,--,--,--,--
01416,淡江大學,土木工程學系工程設施組,--,--,--,--,--,--,1.00,1.50,1.50,--,1.50,--,--,--,--,--,--
01417,淡江大學,西班牙語文學系,--,--,--,--,--,--,1.00,2.00,--,--,--,--,--,1.00,1.00,--,--
01418,淡江大學,日本語文學系,--,--,--,--,--,--,1.50,1.50,--,1.00,--,--,--,1.50,1.00,--,--
01419,淡江大學,大眾傳播學系,--,--,--,--,--,--,1.50,1.50,--,--,--,--,--,1.00,1.00,1.00,--
01420,淡江大學,法國語文學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,1.00,--,B
01421,淡江大學,俄國語文學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,--,--,--
01422,淡江大學,英文學系,--,--,--,--,--,--,1.00,2.00,--,--,--,--,--,1.00,--,--,--
01423,淡江大學,資訊傳播學系,--,--,--,--,--,--,1.50,1.50,--,1.50,--,--,--,1.00,1.00,--,--
01424,淡江大學,德國語文學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.00,1.00,--,--
01425,淡江大學,企業管理學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01426,淡江大學,保險學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01427,淡江大學,財務金融學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01428,淡江大學,國際企業學系經貿管理組,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,C
01429,淡江大學,產業經濟學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01430,淡江大學,統計學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01431,淡江大學,會計學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01432,淡江大學,經濟學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01433,淡江大學,水資源及環境工程學系水資源工程組,--,--,--,--,--,--,2.00,--,1.50,--,1.00,--,--,--,--,--,--
01434,淡江大學,建築學系,--,--,--,--,--,--,1.50,2.00,1.50,--,1.00,1.00,--,--,--,--,--
01435,淡江大學,航空太空工程學系,--,--,--,--,--,--,1.00,2.00,2.00,--,2.00,1.00,--,--,--,--,--
01436,淡江大學,機械與機電工程學系光機電整合組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01437,淡江大學,化學學系化學與生物化學組,--,--,--,--,--,--,1.00,1.00,2.00,--,2.00,2.00,--,--,--,--,C
01438,淡江大學,化學學系材料化學組,--,--,--,--,--,--,1.00,1.00,2.00,--,2.00,2.00,--,--,--,--,C
01439,淡江大學,物理學系光電物理組,--,--,--,--,--,--,1.00,1.00,1.50,--,1.50,1.00,--,--,--,--,--
01440,淡江大學,物理學系應用物理組,--,--,--,--,--,--,1.00,1.00,1.50,--,1.50,1.00,--,--,--,--,--
01441,淡江大學,英美語言文化學系全英語學士班(蘭陽校園),--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,--,--,--
01442,淡江大學,全球政治經濟學系全英語學士班(蘭陽校園),--,--,--,--,--,--,1.00,2.00,--,--,--,--,--,1.00,--,--,--
01443,淡江大學,資訊創新與科技學系應用資訊全英語組(蘭陽校園),--,--,--,--,--,--,1.00,2.00,--,2.00,--,--,--,--,--,--,--
01444,淡江大學,資訊創新與科技學系軟體工程全英語組(蘭陽校園),--,--,--,--,--,--,1.00,2.00,2.00,--,--,--,--,--,--,--,--
01445,淡江大學,國際觀光管理學系全英語學士班(蘭陽校園),--,--,--,--,--,--,1.00,2.00,--,1.00,--,--,--,1.00,1.00,--,--
01446,淡江大學,電機工程學系電機通訊組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01447,淡江大學,電機工程學系電機與系統組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01448,淡江大學,機械與機電工程學系精密機械組,--,--,--,--,--,--,1.50,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01449,淡江大學,水資源及環境工程學系環境工程組,--,--,--,--,--,--,2.00,--,1.50,--,--,1.00,--,--,--,--,--
01450,淡江大學,商管學院全球財務管理全英語學士學位學程,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01451,淡江大學,外交與國際關係學系全英語學士班,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.50,--,--,A
01452,淡江大學,國際企業學系國際商學全英語組,--,--,--,--,--,--,1.00,2.00,--,1.50,--,--,--,--,--,--,B
01501,逢甲大學,中國文學系,--,--,--,--,--,--,2.00,1.00,--,--,--,--,--,2.00,--,--,--
01502,逢甲大學,財稅學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01503,逢甲大學,土地管理學系,--,--,--,--,--,--,1.50,1.00,--,1.00,--,--,--,1.00,1.50,--,--
01504,逢甲大學,企業管理學系,--,--,--,--,--,--,2.00,2.00,--,1.50,--,--,--,1.00,1.00,--,--
01505,逢甲大學,合作經濟學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01506,逢甲大學,風險管理與保險學系,--,--,--,--,--,--,2.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01507,逢甲大學,財務金融學系,--,--,--,--,--,--,1.00,1.50,--,1.50,--,--,--,--,--,--,--
01508,逢甲大學,國際貿易學系,--,--,--,--,--,--,1.25,2.00,--,1.50,--,--,--,1.00,1.00,--,--
01509,逢甲大學,統計學系,--,--,--,--,--,--,1.50,1.75,--,2.00,--,--,--,--,--,--,--
01510,逢甲大學,會計學系,--,--,--,--,--,--,2.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01511,逢甲大學,經濟學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01512,逢甲大學,土木工程學系,--,--,--,--,--,--,2.00,--,1.75,--,1.75,--,--,--,--,--,--
01513,逢甲大學,工業工程與系統管理學系A組,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,--,--,--,--,--,--
01514,逢甲大學,水利工程與資源保育學系,--,--,--,--,--,--,2.00,--,1.75,--,2.00,--,--,--,--,--,--
01515,逢甲大學,運輸科技與管理學系,--,--,--,--,--,--,2.00,1.75,--,2.00,--,--,--,--,--,--,--
01516,逢甲大學,建築學系,--,--,--,--,--,--,2.00,2.00,1.75,--,1.00,--,--,--,--,--,--
01517,逢甲大學,航太與系統工程學系,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01518,逢甲大學,都市計畫與空間資訊學系都市計畫組,--,--,--,--,--,--,2.00,1.00,--,1.00,--,--,--,1.00,2.00,--,--
01519,逢甲大學,機械與電腦輔助工程學系,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,--,--,--,--,--,--
01520,逢甲大學,材料科學與工程學系,--,--,--,--,--,--,2.00,1.00,1.50,--,1.00,1.25,--,--,--,--,--
01521,逢甲大學,應用數學系A組,--,--,--,--,--,--,1.75,1.75,2.00,--,--,--,--,--,--,--,--
01522,逢甲大學,自動控制工程學系,--,--,--,--,--,--,2.00,1.00,1.75,--,1.75,--,--,--,--,--,--
01523,逢甲大學,資訊工程學系,--,--,--,--,--,--,1.75,1.00,1.50,--,1.50,1.00,--,--,--,--,--
01524,逢甲大學,電子工程學系,--,--,--,--,--,--,2.00,1.00,1.75,--,1.75,--,--,--,--,--,--
01525,逢甲大學,電機工程學系,--,--,--,--,--,--,1.50,1.00,1.75,--,1.50,1.00,--,--,--,--,--
01526,逢甲大學,通訊工程學系,--,--,--,--,--,--,2.00,1.00,1.00,--,1.00,--,--,--,--,--,--
01527,逢甲大學,資訊電機學院不分系榮譽班,--,--,--,--,--,--,1.75,1.00,1.75,--,1.50,1.00,--,--,--,--,--
01528,逢甲大學,外國語文學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.25,--,--,B
01529,逢甲大學,化學工程學系,--,--,--,--,--,--,2.00,1.00,2.00,--,1.00,2.00,--,--,--,--,--
01530,逢甲大學,纖維與複合材料學系,--,--,--,--,--,--,2.00,1.00,2.00,--,1.00,2.00,--,--,--,--,--
01531,逢甲大學,環境工程與科學學系,--,--,--,--,--,--,2.00,1.00,1.75,--,1.00,2.00,--,--,--,--,--
01532,逢甲大學,光電學系,--,--,--,--,--,--,2.00,1.00,1.50,--,1.50,1.00,--,--,--,--,--
01533,逢甲大學,都市計畫與空間資訊學系空間資訊組,--,--,--,--,--,--,2.00,1.00,--,1.00,--,--,--,1.00,2.00,--,--
01534,逢甲大學,國際企業管理學士學位學程(英語專班),--,--,--,--,--,--,1.50,2.00,--,1.50,--,--,--,1.00,1.00,--,B
01535,逢甲大學,行銷學系,--,--,--,--,--,--,2.00,2.00,--,1.75,--,--,--,--,--,--,--
01536,逢甲大學,工業工程與系統管理學系B組,--,--,--,--,--,--,2.00,2.00,--,1.50,--,--,--,--,--,--,--
01537,逢甲大學,應用數學系B組,--,--,--,--,--,--,1.75,1.75,--,2.00,--,--,--,--,--,--,--
01538,逢甲大學,精密系統設計學士學位學程,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,--,--,--,--,--,--
01539,逢甲大學,財務工程與精算學士學位學程,--,--,--,--,--,--,1.00,1.50,--,2.00,--,--,--,--,--,--,--
01601,國立中央大學,中國文學系,--,--,--,--,--,--,2.00,1.50,--,--,--,--,--,1.50,1.00,--,--
01602,國立中央大學,法國語文學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.25,1.00,--,--
01603,國立中央大學,英美語文學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.25,1.00,--,--
01604,國立中央大學,企業管理學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01605,國立中央大學,財務金融學系,--,--,--,--,--,--,1.00,1.50,--,1.50,--,--,--,--,--,--,--
01606,國立中央大學,經濟學系,--,--,--,--,--,--,1.25,2.00,--,2.00,--,--,--,--,--,--,--
01607,國立中央大學,土木工程學系,--,--,--,--,--,--,1.00,1.50,2.00,--,2.00,1.00,--,--,--,--,--
01608,國立中央大學,化學工程與材料工程學系,--,--,--,--,--,--,1.00,1.00,1.00,--,1.00,1.00,--,--,--,--,--
01609,國立中央大學,大氣科學學系大氣組,--,--,--,--,--,--,1.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01610,國立中央大學,地球科學學系,--,--,--,--,--,--,1.00,1.50,2.00,--,2.00,1.00,--,--,--,--,--
01611,國立中央大學,物理學系,--,--,--,--,--,--,1.00,1.00,1.50,--,1.50,1.00,--,--,--,--,--
01612,國立中央大學,數學系,--,--,--,--,--,--,1.00,1.25,1.50,--,1.25,1.00,--,--,--,--,--
01613,國立中央大學,生命科學系,--,--,--,--,--,--,1.00,1.00,1.00,--,--,1.25,1.50,--,--,--,B
01614,國立中央大學,機械工程學系光機電工程組,--,--,--,--,--,--,1.00,1.50,2.00,--,2.00,1.00,--,--,--,--,--
01615,國立中央大學,機械工程學系先進材料與精密製造組,--,--,--,--,--,--,1.00,1.50,2.00,--,2.00,1.00,--,--,--,--,--
01616,國立中央大學,機械工程學系設計與分析組,--,--,--,--,--,--,1.00,1.50,2.00,--,2.00,1.00,--,--,--,--,--
01617,國立中央大學,資訊管理學系,--,--,--,--,--,--,1.50,2.00,2.00,--,--,--,--,--,--,--,--
01618,國立中央大學,化學學系,--,--,--,--,--,--,1.00,1.00,1.25,--,1.25,1.50,--,--,--,--,--
01619,國立中央大學,資訊工程學系,--,--,--,--,--,--,1.00,1.00,1.00,--,1.00,1.00,--,--,--,--,--
01620,國立中央大學,電機工程學系,--,--,--,--,--,--,1.00,1.00,1.00,--,1.00,1.00,--,--,--,--,--
01621,國立中央大學,通訊工程學系,--,--,--,--,--,--,1.00,1.00,1.00,--,1.00,1.00,--,--,--,--,--
01622,國立中央大學,大氣科學學系太空組,--,--,--,--,--,--,1.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01623,國立中央大學,光電科學與工程學系,--,--,--,--,--,--,1.00,1.00,1.00,--,1.00,1.00,--,--,--,--,--
01624,國立中央大學,理學院學士班,--,--,--,--,--,--,1.00,1.00,1.50,--,1.25,1.25,--,--,--,--,--
01625,國立中央大學,客家語文暨社會科學學系,--,--,--,--,--,--,1.50,1.00,--,1.00,--,--,--,1.00,--,1.50,--
01626,國立中央大學,生醫科學與工程學系,--,--,--,--,--,--,--,1.00,--,--,1.25,1.25,--,--,--,--,--
01702,中國文化大學,生活應用科學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,2.00,1.00,--,--
01704,中國文化大學,韓國語文學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,1.00,--,--
01705,中國文化大學,法國語文學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,1.00,--,--
01706,中國文化大學,俄國語文學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,1.00,--,--
01707,中國文化大學,保健營養學系,--,--,--,--,--,--,2.00,1.00,--,--,--,2.00,2.00,--,--,--,--
01708,中國文化大學,紡織工程學系A組,--,--,--,--,--,--,2.00,2.00,1.00,--,1.00,2.00,--,--,--,--,--
01709,中國文化大學,新聞學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,1.00,--,2.00,--
01710,中國文化大學,廣告學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,--,--,1.00,--
01711,中國文化大學,資訊工程學系B組,--,--,--,--,--,--,2.00,1.00,--,2.00,--,--,--,2.00,1.00,--,--
01712,中國文化大學,資訊傳播學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,--,--,--,--
01713,中國文化大學,大眾傳播學系,--,--,--,--,--,--,2.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01714,中國文化大學,戲劇學系,--,--,--,--,--,--,2.00,1.00,--,--,--,--,--,1.00,1.00,--,--
01715,中國文化大學,景觀學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,--,--,--,--
01716,中國文化大學,哲學系,--,--,--,--,--,--,2.00,1.50,--,--,--,--,--,2.00,--,--,--
01717,中國文化大學,中國文學系中國文學組,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,2.00,1.00,--,--
01718,中國文化大學,中國文學系文藝創作組,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,2.00,1.00,--,--
01719,中國文化大學,史學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,2.00,1.00,--,--
01720,中國文化大學,日本語文學系,--,--,--,--,--,--,2.00,1.50,--,--,--,--,--,2.00,1.00,--,--
01721,中國文化大學,英國語文學系,--,均標,--,--,--,--,1.50,2.00,--,--,--,--,--,1.00,1.00,--,B
01722,中國文化大學,德國語文學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,1.00,1.00,--,--
01723,中國文化大學,法律學系法學組,--,--,--,--,--,--,1.50,1.50,--,--,--,--,--,1.00,1.00,1.00,--
01724,中國文化大學,法律學系財經法律組,--,--,--,--,--,--,1.50,1.50,--,--,--,--,--,1.00,1.00,1.00,--
01725,中國文化大學,政治學系,--,--,--,--,--,--,1.50,1.00,--,--,--,--,--,1.50,--,--,--
01726,中國文化大學,經濟學系,--,--,--,--,--,--,1.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01727,中國文化大學,勞工關係學系勞資關係組,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,--,--,--,--
01728,中國文化大學,社會福利學系,--,--,--,--,--,--,1.50,1.50,--,1.50,--,--,--,1.00,--,1.00,--
01729,中國文化大學,行政管理學系,--,--,--,--,--,--,1.50,1.50,--,--,--,--,--,1.00,--,1.50,--
01730,中國文化大學,國際貿易學系,--,--,--,--,--,--,2.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01731,中國文化大學,國際企業管理學系,--,--,--,--,--,--,1.00,2.00,--,1.00,--,--,--,1.00,1.00,--,--
01732,中國文化大學,會計學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,2.00,1.00,--,--
01733,中國文化大學,觀光事業學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01734,中國文化大學,資訊管理學系,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01735,中國文化大學,財務金融學系金融行銷組,--,--,--,--,--,--,1.00,2.00,--,--,--,--,--,2.00,2.00,--,--
01737,中國文化大學,市政暨環境規劃學系,--,--,--,--,--,--,1.50,2.00,--,1.00,--,--,--,1.00,1.50,--,--
01738,中國文化大學,教育學系,--,--,--,--,--,--,2.00,1.50,--,--,--,--,--,--,--,1.50,--
01739,中國文化大學,心理輔導學系,--,--,--,--,--,--,1.75,1.75,--,1.50,--,--,--,1.00,1.00,--,--
01740,中國文化大學,應用數學系,--,--,--,--,--,--,1.00,1.50,2.00,--,1.50,1.00,--,--,--,--,--
01741,中國文化大學,光電物理學系甲組,--,--,--,--,--,--,1.00,1.50,2.00,--,2.00,1.00,--,--,--,--,--
01742,中國文化大學,化學系,--,--,--,--,--,--,1.00,1.50,1.50,--,1.00,2.00,--,--,--,--,--
01743,中國文化大學,大氣科學系,--,--,--,--,--,--,1.00,1.50,2.00,--,1.50,1.00,--,--,--,--,--
01744,中國文化大學,地質學系,--,--,--,--,--,--,1.00,1.50,1.00,--,1.75,2.00,--,--,--,--,--
01745,中國文化大學,化學工程與材料工程學系,--,--,--,--,--,--,2.00,1.00,2.00,--,1.00,2.00,--,--,--,--,--
01746,中國文化大學,電機工程學系A組,--,--,--,--,--,--,1.00,1.00,1.00,--,--,--,--,--,--,--,--
01747,中國文化大學,機械工程學系,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01748,中國文化大學,資訊工程學系A組,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01749,中國文化大學,建築及都市設計學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,--,--,--,--
01750,中國文化大學,地理學系A組,--,--,--,--,--,--,1.00,2.00,1.00,--,1.00,1.00,--,--,--,--,--
01751,中國文化大學,生命科學系,--,--,--,--,--,--,1.00,1.50,1.00,--,--,1.50,2.00,--,--,--,--
01752,中國文化大學,體育學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,1.00,--,--,--,--
01754,中國文化大學,園藝暨生物技術學系,--,--,--,--,--,--,1.00,2.00,1.00,--,--,2.00,2.00,--,--,--,--
01755,中國文化大學,動物科學系,--,--,--,--,--,--,1.00,2.00,--,--,--,2.00,2.00,--,--,--,--
01756,中國文化大學,土地資源學系,--,--,--,--,--,--,2.00,2.00,--,1.75,--,--,--,--,--,--,--
01757,中國文化大學,勞工關係學系人力資源組,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,--,--,--,--
01758,中國文化大學,地理學系B組,--,--,--,--,--,--,1.00,2.00,--,1.00,--,--,--,1.00,2.00,--,--
01760,中國文化大學,電機工程學系B組,--,--,--,--,--,--,2.00,2.00,2.00,--,1.00,--,--,--,--,--,--
01761,中國文化大學,紡織工程學系B組,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,2.00,1.00,--,--
01762,中國文化大學,財務金融學系財務金融組,--,--,--,--,--,--,1.50,2.00,--,2.00,--,--,--,1.00,1.00,--,--
01763,中國文化大學,光電物理學系乙組,--,--,--,--,--,--,1.00,2.00,--,2.00,--,--,--,--,--,--,--
01764,中國文化大學,森林暨自然保育學系,--,--,--,--,--,--,2.00,2.00,--,1.00,--,--,--,--,2.00,--,--
01765,中國文化大學,運動與健康促進學系,--,--,--,--,--,--,2.00,2.00,--,--,--,--,1.00,--,--,--,--
01766,中國文化大學,全球商務學士學位學程,--,均標,--,--,--,--,1.00,2.00,--,1.00,--,--,--,1.00,1.00,--,--
01801,靜宜大學,英國語文學系,--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,1.50,--,--,B
01802,靜宜大學,西班牙語文學系,--,--,--,--,--,--,2.00,1.50,--,--,--,--,--,1.00,1.00,--,--
01803,靜宜大學,日本語文學系,--,--,--,--,--,--,2.00,1.00,--,--,--,--,--,1.50,1.50,--,--
01804,靜宜大學,生態人文學系(人文組),--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.50,--,--,--
01805,靜宜大學,法律學系,--,--,--,--,--,--,2.00,1.00,--,1.00,--,--,--,--,--,1.00,--
01806,靜宜大學,應用化學系(綠色能源組),--,--,--,--,--,--,2.00,1.50,--,--,--,2.00,--,--,--,--,--
01807,靜宜大學,中國文學系,--,--,--,--,--,--,2.00,--,--,--,--,--,--,2.00,1.00,--,--
01808,靜宜大學,應用化學系(應用化學組),--,--,--,--,--,--,2.00,1.50,--,--,--,2.00,--,--,--,--,--
01809,靜宜大學,社會工作與兒童少年福利學系,--,--,--,--,--,--,2.00,1.00,--,--,--,--,--,2.00,1.00,--,--
01810,靜宜大學,生態人文學系(自然組),--,--,--,--,--,--,2.00,2.00,--,--,--,--,1.50,--,--,--,--
01811,靜宜大學,台灣文學系,--,--,--,--,--,--,2.00,--,--,--,--,--,--,1.25,1.25,--,--
01812,靜宜大學,國際企業學系(國際經營與行銷組),--,--,--,--,--,--,1.50,1.50,--,--,--,--,--,1.00,--,1.00,--
01813,靜宜大學,資訊工程學系(智慧電子與數位系統設計組),--,--,--,--,--,--,2.00,1.50,--,2.00,--,--,--,--,--,--,--
01814,靜宜大學,會計學系,--,--,--,--,--,--,2.00,1.50,--,1.50,--,--,--,1.00,1.00,--,--
01815,靜宜大學,資訊傳播工程學系(遊戲設計組),--,--,--,--,--,--,2.00,1.00,--,2.00,--,--,--,--,--,--,--
01816,靜宜大學,企業管理學系(行銷運籌與創新管理組),--,--,--,--,--,--,--,2.00,--,--,--,--,--,1.50,2.00,--,--
01817,靜宜大學,國際企業學系(國際貿易與運籌組),--,--,--,--,--,--,1.50,1.50,--,--,--,--,--,1.00,1.00,--,--
01818,靜宜大學,資訊管理學系(應用軟體開發組),--,--,--,--,--,--,2.00,2.00,--,1.75,--,--,--,--,--,--,--
01819,靜宜大學,資訊傳播工程學系(網路與多媒體應用組),--,--,--,--,--,--,2.00,1.00,--,2.00,--,--,--,--,--,--,--
01821,靜宜大學,觀光事業學系(甲組),--,--,--,--,--,--,2.00,--,--,--,--,--,--,1.00,2.00,2.00,C
01822,靜宜大學,財務金融學系(金融行銷組),--,--,--,--,--,--,1.50,1.25,--,1.00,--,--,--,1.50,--,--,--
01823,靜宜大學,財務與計算數學系計算數學組,--,--,--,--,--,--,2.00,1.50,--,2.00,--,--,--,--,--,--,--
01824,靜宜大學,財務與計算數學系財務工程組,--,--,--,--,--,--,2.00,1.50,--,2.00,--,--,--,--,--,--,--
01825,靜宜大學,統計資訊學系,--,--,--,--,--,--,1.50,1.50,--,2.00,--,--,--,--,--,--,--
01826,靜宜大學,食品營養學系營養與保健組,--,--,--,--,--,--,2.00,1.00,--,--,--,2.00,2.00,--,--,--,--
01827,靜宜大學,食品營養學系食品與生物技術組,--,--,--,--,--,--,2.00,1.00,--,--,--,2.00,2.00,--,--,--,--
01828,靜宜大學,化粧品科學系,--,--,--,--,--,--,2.00,1.00,--,--,--,2.00,--,--,--,--,--
01829,靜宜大學,大眾傳播學系,--,--,--,--,--,--,2.00,1.75,--,1.00,--,--,--,--,--,1.75,--
01830,靜宜大學,寰宇管理學士學位學程,--,--,--,--,--,--,2.00,2.00,--,1.75,--,--,--,--,--,--,B
01831,靜宜大學,財務金融學系(投資管理組),--,--,--,--,--,--,1.50,1.00,--,1.25,--,--,--,--,1.50,--,--
01832,靜宜大學,資訊管理學系(行動與雲端商務組),--,--,--,--,--,--,2.00,--,--,2.00,--,--,--,1.00,1.00,--,--
01833,靜宜大學,資訊管理學系(商業智慧組),--,--,--,--,--,--,2.00,2.00,--,--,--,--,--,1.00,1.00,--,--
01834,靜宜大學,資訊工程學系(網路技術與雲端運算組),--,--,--,--,--,--,2.00,1.50,--,2.00,--,--,--,--,--,--,--
01835,靜宜大學,資訊工程學系(智慧生活與服務設計組),--,--,--,--,--,--,2.00,--,--,2.00,--,--,--,--,--,1.50,--
01836,靜宜大學,企業管理學系(人力資源與創意管理組),--,--,--,--,--,--,1.50,2.00,--,--,--,--,--,--,--,2.00,--
01837,靜宜大學,企業管理學系(事業經營與創業管理組),--,--,--,--,--,--,2.00,--,--,2.00,--,--,--,1.00,1.00,--,--
01838,靜宜大學,資訊傳播工程學系(互動藝術組),--,--,--,--,--,--,2.00,--,--,1.00,--,--,--,--,--,2.00,--
01839,靜宜大學,觀光事業學系(乙組),--,--,--,--,--,--,2.00,--,--,1.00,--,--,--,2.00,2.00,--,C
01840,靜宜大學,觀光事業學系(丙組),--,--,--,--,--,--,2.00,1.00,--,--,--,--,--,2.00,2.00,--,C
01901,大同大學,材料工程學系,--,--,--,--,--,--,2.00,1.00,1.00,--,1.75,2.00,--,--,--,--,--
01902,大同大學,資訊經營學系,--,--,--,--,--,--,1.75,2.00,--,2.00,--,--,--,--,--,--,--
01903,大同大學,化學工程學系,--,--,--,--,--,--,1.00,2.00,2.00,--,1.00,2.00,--,--,--,--,--
01904,大同大學,媒體設計學系數位遊戲設計組,--,--,--,--,--,--,1.75,2.00,--,2.00,--,--,--,--,--,--,--
01905,大同大學,機械工程學系電子機械組,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01906,大同大學,機械工程學系精密機械組,--,--,--,--,--,--,2.00,1.00,2.00,--,2.00,1.00,--,--,--,--,--
01907,大同大學,資訊工程學系,--,--,--,--,--,--,2.00,2.00,1.75,--,1.00,1.00,--,--,--,--,--
